"species","date1","date2","d","t1","t2","id","svl1","svl2","dsvl","sex","pop"
"Alytes cisternasii","15/09/2023","08/02/2024",146,257,403,"AC09185",49,50,1,"Female","Gravera"
"Alytes cisternasii","11/02/2021","24/11/2022",651,41,692,"AC09186",47,48,1,"Female","Gravera"
"Alytes cisternasii","14/04/2021","03/04/2023",719,103,822,"AC09190",38,39,1,"Unknown","Gravera"
"Alytes cisternasii","03/04/2023","04/05/2023",31,92,123,"AC09190",39,42,3,"Unknown","Gravera"
"Alytes cisternasii","02/11/2021","20/10/2022",352,305,657,"AC09199",36,45,9,"Unknown","Gravera"
"Alytes cisternasii","20/10/2022","26/05/2023",218,292,510,"AC09199",45,46,1,"Unknown","Gravera"
"Alytes cisternasii","15/09/2023","08/02/2024",146,257,403,"AC09203",47,47,0,"Female","Gravera"
"Alytes cisternasii","15/09/2023","08/02/2024",146,257,403,"AC09204",46,46,0,"Female","Gravera"
"Alytes obstetricans","27/09/2018","02/10/2018",5,269,274,"AOFV001",54,51,-3,"Female","Fuente_del_Valle"
"Alytes obstetricans","02/10/2018","09/10/2018",7,274,281,"AOFV001",51,51,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","09/10/2018","24/06/2020",624,281,905,"AOFV001",51,59,8,"Female","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","08/07/2020",14,175,189,"AOFV001",59,57,-2,"Female","Fuente_del_Valle"
"Alytes obstetricans","27/09/2018","02/10/2018",5,269,274,"AOFV002",45,42,-3,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","02/10/2018","09/10/2018",7,274,281,"AOFV002",42,42,0,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","09/10/2018","17/10/2018",8,281,289,"AOFV002",42,40,-2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","27/09/2018","02/10/2018",5,269,274,"AOFV003",46,46,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","02/10/2018","09/10/2018",7,274,281,"AOFV003",46,48,2,"Male","Fuente_del_Valle"
"Alytes obstetricans","09/10/2018","12/10/2018",3,281,284,"AOFV003",48,46,-2,"Male","Fuente_del_Valle"
"Alytes obstetricans","12/10/2018","10/06/2019",241,284,525,"AOFV003",46,44,-2,"Male","Fuente_del_Valle"
"Alytes obstetricans","10/06/2019","24/06/2020",380,160,540,"AOFV003",44,52,8,"Male","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","01/07/2020",7,175,182,"AOFV003",52,46,-6,"Male","Fuente_del_Valle"
"Alytes obstetricans","01/07/2020","14/09/2020",75,182,257,"AOFV003",46,45,-1,"Male","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","16/06/2021",275,257,532,"AOFV003",45,49,4,"Male","Fuente_del_Valle"
"Alytes obstetricans","27/09/2018","09/10/2018",12,269,281,"AOFV004",47,44,-3,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","27/09/2018","09/10/2018",12,269,281,"AOFV005",42,41,-1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","02/10/2018","09/10/2018",7,274,281,"AOFV006",42,43,1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","02/10/2018","09/10/2018",7,274,281,"AOFV007",44,44,0,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","09/10/2018","04/06/2019",238,281,519,"AOFV007",44,43,-1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","02/10/2018","09/10/2018",7,274,281,"AOFV008",46,46,0,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","09/10/2018","10/06/2019",244,281,525,"AOFV008",46,44,-2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","09/10/2018","24/06/2020",624,281,905,"AOFV013",41,48,7,"Male","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","04/08/2020",41,175,216,"AOFV013",48,44,-4,"Male","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","22/08/2020",18,216,234,"AOFV013",44,47,3,"Male","Fuente_del_Valle"
"Alytes obstetricans","22/08/2020","07/09/2020",16,234,250,"AOFV013",47,45,-2,"Male","Fuente_del_Valle"
"Alytes obstetricans","09/10/2018","12/10/2018",3,281,284,"AOFV014",48,50,2,"Female","Fuente_del_Valle"
"Alytes obstetricans","12/10/2018","24/06/2020",621,284,905,"AOFV014",50,55,5,"Female","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","01/07/2020",7,175,182,"AOFV014",55,53,-2,"Female","Fuente_del_Valle"
"Alytes obstetricans","01/07/2020","08/07/2020",7,182,189,"AOFV014",53,51,-2,"Female","Fuente_del_Valle"
"Alytes obstetricans","08/07/2020","19/07/2020",11,189,200,"AOFV014",51,51,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","19/07/2020","04/08/2020",16,200,216,"AOFV014",51,52,1,"Female","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","07/09/2020",34,216,250,"AOFV014",52,49,-3,"Female","Fuente_del_Valle"
"Alytes obstetricans","12/10/2018","01/07/2020",628,284,912,"AOFV015",42,50,8,"Male","Fuente_del_Valle"
"Alytes obstetricans","01/07/2020","04/08/2020",34,182,216,"AOFV015",50,44,-6,"Male","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","07/09/2020",34,216,250,"AOFV015",44,43,-1,"Male","Fuente_del_Valle"
"Alytes obstetricans","07/09/2020","10/06/2021",276,250,526,"AOFV015",43,52,9,"Male","Fuente_del_Valle"
"Alytes obstetricans","12/10/2018","17/10/2018",5,284,289,"AOFV016",43,42,-1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","17/10/2018","21/04/2019",186,289,475,"AOFV016",42,43,1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","21/04/2019","04/06/2019",44,110,154,"AOFV016",43,42,-1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","04/06/2019","24/06/2020",386,154,540,"AOFV016",42,46,4,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","27/07/2020",33,175,208,"AOFV016",46,47,1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","27/07/2020","14/06/2021",322,208,530,"AOFV016",47,45,-2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","14/06/2021","24/07/2021",40,164,204,"AOFV016",45,47,2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","04/06/2019","24/06/2020",386,154,540,"AOFV019",44,47,3,"Male","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","07/09/2020",75,175,250,"AOFV019",47,49,2,"Male","Fuente_del_Valle"
"Alytes obstetricans","13/11/2019","27/11/2019",14,316,330,"AOFV025",46,48,2,"Male","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","01/07/2020",7,175,182,"AOFV028",43,40,-3,"Male","Fuente_del_Valle"
"Alytes obstetricans","01/07/2020","19/07/2020",18,182,200,"AOFV028",40,38,-2,"Male","Fuente_del_Valle"
"Alytes obstetricans","19/07/2020","04/08/2020",16,200,216,"AOFV028",38,38,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","30/08/2020",26,216,242,"AOFV028",38,40,2,"Male","Fuente_del_Valle"
"Alytes obstetricans","30/08/2020","14/09/2020",15,242,257,"AOFV028",40,40,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","04/02/2021",143,257,400,"AOFV028",40,46,6,"Male","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","18/05/2021",328,175,503,"AOFV029",54,49,-5,"Female","Fuente_del_Valle"
"Alytes obstetricans","18/05/2021","10/06/2021",23,137,160,"AOFV029",49,50,1,"Female","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","01/07/2020",7,175,182,"AOFV030",55,54,-1,"Female","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","19/07/2020",25,175,200,"AOFV031",46,49,3,"Male","Fuente_del_Valle"
"Alytes obstetricans","19/07/2020","22/07/2020",3,200,203,"AOFV031",49,44,-5,"Male","Fuente_del_Valle"
"Alytes obstetricans","22/07/2020","27/07/2020",5,203,208,"AOFV031",44,46,2,"Male","Fuente_del_Valle"
"Alytes obstetricans","27/07/2020","14/09/2020",49,208,257,"AOFV031",46,46,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","09/03/2023",906,257,1163,"AOFV031",46,50,4,"Male","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","27/07/2020",33,175,208,"AOFV033",49,48,-1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","27/07/2020","07/09/2020",42,208,250,"AOFV033",48,46,-2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","22/07/2020",28,175,203,"AOFV034",54,52,-2,"Female","Fuente_del_Valle"
"Alytes obstetricans","22/07/2020","04/08/2020",13,203,216,"AOFV034",52,51,-1,"Female","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","04/08/2020",41,175,216,"AOFV035",44,46,2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","24/06/2020","08/07/2020",14,175,189,"AOFV037",42,40,-2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","01/07/2020","04/08/2020",34,182,216,"AOFV039",50,51,1,"Female","Fuente_del_Valle"
"Alytes obstetricans","01/07/2020","08/07/2020",7,182,189,"AOFV040",45,44,-1,"Male","Fuente_del_Valle"
"Alytes obstetricans","08/07/2020","19/07/2020",11,189,200,"AOFV040",44,44,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","19/07/2020","22/07/2020",3,200,203,"AOFV040",44,41,-3,"Male","Fuente_del_Valle"
"Alytes obstetricans","22/07/2020","04/08/2020",13,203,216,"AOFV040",41,44,3,"Male","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","11/08/2020",7,216,223,"AOFV040",44,43,-1,"Male","Fuente_del_Valle"
"Alytes obstetricans","11/08/2020","22/08/2020",11,223,234,"AOFV040",43,43,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","22/08/2020","30/08/2020",8,234,242,"AOFV040",43,43,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","30/08/2020","07/09/2020",8,242,250,"AOFV040",43,41,-2,"Male","Fuente_del_Valle"
"Alytes obstetricans","07/09/2020","14/09/2020",7,250,257,"AOFV040",41,43,2,"Male","Fuente_del_Valle"
"Alytes obstetricans","08/07/2020","19/07/2020",11,189,200,"AOFV042",49,52,3,"Female","Fuente_del_Valle"
"Alytes obstetricans","19/07/2020","22/07/2020",3,200,203,"AOFV042",52,51,-1,"Female","Fuente_del_Valle"
"Alytes obstetricans","22/07/2020","27/07/2020",5,203,208,"AOFV042",51,51,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","27/07/2020","04/08/2020",8,208,216,"AOFV042",51,51,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","22/08/2020",18,216,234,"AOFV042",51,51,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","22/08/2020","30/08/2020",8,234,242,"AOFV042",51,52,1,"Female","Fuente_del_Valle"
"Alytes obstetricans","30/08/2020","07/09/2020",8,242,250,"AOFV042",52,50,-2,"Female","Fuente_del_Valle"
"Alytes obstetricans","07/09/2020","14/09/2020",7,250,257,"AOFV042",50,50,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","10/06/2021",269,257,526,"AOFV042",50,46,-4,"Female","Fuente_del_Valle"
"Alytes obstetricans","10/06/2021","14/06/2021",4,160,164,"AOFV042",46,54,8,"Female","Fuente_del_Valle"
"Alytes obstetricans","14/06/2021","24/07/2021",40,164,204,"AOFV042",54,54,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","08/07/2020","19/07/2020",11,189,200,"AOFV043",41,42,1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","19/07/2020","04/08/2020",16,200,216,"AOFV043",42,41,-1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","14/09/2020",41,216,257,"AOFV043",41,41,0,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","08/07/2020","14/09/2020",68,189,257,"AOFV045",45,46,1,"Male","Fuente_del_Valle"
"Alytes obstetricans","19/07/2020","22/07/2020",3,200,203,"AOFV046",54,48,-6,"Female","Fuente_del_Valle"
"Alytes obstetricans","22/07/2020","30/08/2020",39,203,242,"AOFV046",48,51,3,"Female","Fuente_del_Valle"
"Alytes obstetricans","22/07/2020","27/07/2020",5,203,208,"AOFV048",50,54,4,"Female","Fuente_del_Valle"
"Alytes obstetricans","27/07/2020","07/09/2020",42,208,250,"AOFV048",54,50,-4,"Female","Fuente_del_Valle"
"Alytes obstetricans","07/09/2020","14/09/2020",7,250,257,"AOFV048",50,49,-1,"Female","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","08/07/2024",1393,257,1650,"AOFV048",49,53,4,"Female","Fuente_del_Valle"
"Alytes obstetricans","22/07/2020","30/08/2020",39,203,242,"AOFV049",43,44,1,"Male","Fuente_del_Valle"
"Alytes obstetricans","30/08/2020","07/09/2020",8,242,250,"AOFV049",44,45,1,"Male","Fuente_del_Valle"
"Alytes obstetricans","07/09/2020","14/09/2020",7,250,257,"AOFV049",45,44,-1,"Male","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","20/10/2020",36,257,293,"AOFV049",44,47,3,"Male","Fuente_del_Valle"
"Alytes obstetricans","27/07/2020","04/08/2020",8,208,216,"AOFV052",39,40,1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","04/08/2020","24/07/2021",354,216,570,"AOFV052",40,41,1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","24/07/2021","24/05/2023",669,204,873,"AOFV052",41,43,2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","24/05/2023","08/07/2024",411,143,554,"AOFV052",43,44,1,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","27/07/2020","30/08/2020",34,208,242,"AOFV053",34,35,1,"Female","Fuente_del_Valle"
"Alytes obstetricans","30/08/2020","07/09/2020",8,242,250,"AOFV053",35,35,0,"Female","Fuente_del_Valle"
"Alytes obstetricans","07/09/2020","10/06/2021",276,250,526,"AOFV053",35,54,19,"Female","Fuente_del_Valle"
"Alytes obstetricans","10/06/2021","16/06/2021",6,160,166,"AOFV053",54,51,-3,"Female","Fuente_del_Valle"
"Alytes obstetricans","22/08/2020","14/09/2020",23,234,257,"AOFV056",48,49,1,"Male","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","10/06/2021",269,257,526,"AOFV056",49,49,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","10/06/2021","24/07/2021",44,160,204,"AOFV056",49,49,0,"Male","Fuente_del_Valle"
"Alytes obstetricans","30/08/2020","14/09/2020",15,242,257,"AOFV057",50,48,-2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","07/09/2020","14/09/2020",7,250,257,"AOFV060",48,45,-3,"Male","Fuente_del_Valle"
"Alytes obstetricans","14/09/2020","22/06/2021",281,257,538,"AOFV062",39,41,2,"Unknown","Fuente_del_Valle"
"Alytes obstetricans","22/06/2021","24/07/2021",32,172,204,"AOFV062",41,40,-1,"Unknown","Fuente_del_Valle"
